Timestamp,Open,High,Low,Close,Volume
1752710220.0,118687.0,118729.0,118687.0,118729.0,0.55722823
1752710280.0,118735.0,118747.0,118735.0,118746.0,0.05682122
1752710340.0,118746.0,118747.0,118679.0,118718.0,1.06749084
1752710400.0,118692.0,118698.0,118692.0,118698.0,0.06188598
1752710460.0,118698.0,118698.0,118698.0,118698.0,0.11892309
1752710520.0,118698.0,118708.0,118690.0,118708.0,0.36259868
1752710580.0,118698.0,118715.0,118698.0,118714.0,0.18886512
1752710640.0,118714.0,118715.0,118714.0,118714.0,0.04237708
1752710700.0,118714.0,118764.0,118690.0,118755.0,10.18406675
1752710760.0,118756.0,118756.0,118746.0,118746.0,0.11134849
1752710820.0,118746.0,118776.0,118746.0,118776.0,0.08077764
1752710880.0,118777.0,118835.0,118777.0,118814.0,0.72331226
1752710940.0,118814.0,118815.0,118742.0,118782.0,0.99743337
1752711000.0,118782.0,118810.0,118782.0,118809.0,0.50960633
1752711060.0,118810.0,118810.0,118693.0,118800.0,0.86636469
1752711120.0,118801.0,118890.0,118800.0,118856.0,3.50879834
1752711180.0,118859.0,118859.0,118774.0,118820.0,0.52326711
1752711240.0,118820.0,118823.0,118820.0,118821.0,0.37832736
1752711300.0,118821.0,118918.0,118821.0,118906.0,3.27667786
1752711360.0,118906.0,118906.0,118905.0,118906.0,0.06677428
1752711420.0,118906.0,118906.0,118906.0,118906.0,0.02869572
1752711480.0,118906.0,118928.0,118905.0,118915.0,0.13433779
1752711540.0,118915.0,118929.0,118915.0,118919.0,0.57382827
1752711600.0,118920.0,118936.0,118919.0,118936.0,0.15310487
1752711660.0,118936.0,118974.0,118936.0,118973.0,1.03319032
1752711720.0,118974.0,119003.0,118974.0,119002.0,0.14588762
1752711780.0,119002.0,119002.0,119001.0,119002.0,0.11612406
1752711840.0,119002.0,119002.0,119001.0,119001.0,0.01076501
1752711900.0,119002.0,119018.0,118973.0,119010.0,0.32492643
1752711960.0,119010.0,119018.0,118982.0,118982.0,0.12888456
1752712020.0,118982.0,118982.0,118967.0,118967.0,0.17095651
1752712080.0,118937.0,118939.0,118887.0,118892.0,0.06852996
1752712140.0,118893.0,118948.0,118893.0,118938.0,0.09021842
1752712200.0,118933.0,118933.0,118888.0,118904.0,0.03118416
1752712260.0,118905.0,119025.0,118905.0,118998.0,0.05041857
1752712320.0,119025.0,119025.0,118964.0,118964.0,0.09699902
1752712380.0,118964.0,118993.0,118964.0,118993.0,0.07959401
1752712440.0,118993.0,119011.0,118993.0,119002.0,0.10498745
1752712500.0,119002.0,119002.0,119002.0,119002.0,0.00016501
1752712560.0,119002.0,119002.0,119001.0,119002.0,0.01165662
1752712620.0,119001.0,119001.0,118952.0,118979.0,0.23359967
1752712680.0,118997.0,119017.0,118996.0,118996.0,0.16615741
1752712740.0,118997.0,119037.0,118997.0,119016.0,0.89305949
1752712800.0,119020.0,119020.0,119019.0,119019.0,0.03719197
1752712860.0,119020.0,119042.0,119019.0,119041.0,0.07387096
1752712920.0,119074.0,119167.0,119073.0,119167.0,0.1313986
1752712980.0,119167.0,119167.0,119167.0,119167.0,0.10835921
1752713040.0,119167.0,119167.0,119167.0,119167.0,18.92525534
1752713100.0,119166.0,119166.0,119128.0,119129.0,0.2095057
1752713160.0,119129.0,119167.0,119129.0,119164.0,0.05223869
1752713220.0,119145.0,119182.0,119145.0,119182.0,0.43454153
1752713280.0,119182.0,119196.0,119182.0,119196.0,0.64334941
1752713340.0,119196.0,119210.0,119181.0,119181.0,0.44709464
1752713400.0,119155.0,119155.0,119079.0,119088.0,0.05418378
1752713460.0,119072.0,119128.0,119041.0,119126.0,0.14377446
1752713520.0,119137.0,119137.0,119076.0,119112.0,0.14081254
1752713580.0,119111.0,119111.0,119077.0,119101.0,0.07289018
1752713640.0,119112.0,119140.0,119088.0,119117.0,0.53744033
1752713700.0,119116.0,119116.0,119016.0,119020.0,0.14257373
1752713760.0,119020.0,119020.0,119000.0,119001.0,0.0076609
1752713820.0,119001.0,119001.0,118958.0,118993.0,0.19012691
1752713880.0,118963.0,119042.0,118952.0,119001.0,0.0716584
1752713940.0,119001.0,119001.0,118947.0,118947.0,0.34135819
1752714000.0,118944.0,119035.0,118939.0,119019.0,0.14105705
1752714060.0,119019.0,119076.0,119018.0,119076.0,0.05206973
1752714120.0,119075.0,119075.0,118970.0,118973.0,0.32757496
1752714180.0,118975.0,118975.0,118943.0,118943.0,0.10212559
1752714240.0,118942.0,118943.0,118942.0,118943.0,0.0261802
1752714300.0,118943.0,118982.0,118943.0,118981.0,0.10004025
1752714360.0,118992.0,119074.0,118992.0,119074.0,0.31137209
1752714420.0,119074.0,119139.0,119074.0,119137.0,0.05168935
1752714480.0,119136.0,119137.0,119113.0,119113.0,0.01682494
1752714540.0,119113.0,119136.0,119016.0,119016.0,0.22119468
1752714600.0,119012.0,119089.0,119012.0,119089.0,0.21830581
1752714660.0,119093.0,119093.0,119078.0,119078.0,0.03412131
1752714720.0,119064.0,119065.0,119064.0,119065.0,0.0037496
1752714780.0,119065.0,119079.0,119065.0,119076.0,0.02766051
1752714840.0,119078.0,119103.0,119078.0,119103.0,0.06870188
1752714900.0,119103.0,119103.0,119035.0,119065.0,0.21849304
1752714960.0,119065.0,119077.0,119029.0,119034.0,0.15483854
1752715020.0,119008.0,119035.0,119008.0,119031.0,0.0824341
1752715080.0,119032.0,119033.0,118981.0,118981.0,0.04970667
1752715140.0,118976.0,118976.0,118889.0,118889.0,0.12294161
1752715200.0,118891.0,118894.0,118852.0,118852.0,0.08667429
1752715260.0,118849.0,118849.0,118720.0,118720.0,0.14620118
1752715320.0,118689.0,118701.0,118648.0,118648.0,0.44534223
1752715380.0,118640.0,118706.0,118640.0,118706.0,0.26636717
1752715440.0,118706.0,118711.0,118676.0,118690.0,0.3755295
